State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,MEDAK,Ginger,2002-03,Whole Year,593,Hectare,970,Tonnes,1.635750422
Andhra Pradesh,MEDAK,Ginger,2003-04,Whole Year,756,Hectare,2410,Tonnes,3.187830688
Andhra Pradesh,NIZAMABAD,Ginger,2001-02,Whole Year,54,Hectare,123,Tonnes,2.277777778
Andhra Pradesh,NIZAMABAD,Ginger,2002-03,Whole Year,46,Hectare,75,Tonnes,1.630434783
Andhra Pradesh,NIZAMABAD,Ginger,2003-04,Whole Year,38,Hectare,121,Tonnes,3.184210526
Andhra Pradesh,RANGAREDDI,Ginger,2001-02,Whole Year,62,Hectare,141,Tonnes,2.274193548
Andhra Pradesh,RANGAREDDI,Ginger,2002-03,Whole Year,50,Hectare,82,Tonnes,1.64
Andhra Pradesh,RANGAREDDI,Ginger,2003-04,Whole Year,49,Hectare,156,Tonnes,3.183673469
Andhra Pradesh,SRIKAKULAM,Ginger,2001-02,Whole Year,131,Hectare,345,Tonnes,2.633587786
Andhra Pradesh,SRIKAKULAM,Ginger,2002-03,Whole Year,140,Hectare,229,Tonnes,1.635714286
Andhra Pradesh,SRIKAKULAM,Ginger,2003-04,Whole Year,140,Hectare,398,Tonnes,2.842857143
Andhra Pradesh,VISAKHAPATANAM,Ginger,2001-02,Whole Year,1158,Hectare,3047,Tonnes,2.631260794
Andhra Pradesh,VISAKHAPATANAM,Ginger,2002-03,Whole Year,1167,Hectare,1908,Tonnes,1.63496144
Andhra Pradesh,VISAKHAPATANAM,Ginger,2003-04,Whole Year,868,Hectare,2466,Tonnes,2.841013825
Andhra Pradesh,VIZIANAGARAM,Ginger,2002-03,Whole Year,8,Hectare,13,Tonnes,1.625
Andhra Pradesh,VIZIANAGARAM,Ginger,2003-04,Whole Year,8,Hectare,23,Tonnes,2.875
Andhra Pradesh,WARANGAL,Ginger,2001-02,Whole Year,30,Hectare,68,Tonnes,2.266666667
Andhra Pradesh,WARANGAL,Ginger,2002-03,Whole Year,10,Hectare,16,Tonnes,1.6
Andhra Pradesh,WARANGAL,Ginger,2003-04,Whole Year,1,Hectare,3,Tonnes,3
Andhra Pradesh,ADILABAD,Gram,2001-02,Kharif,1,Hectare,1,Tonnes,1
Andhra Pradesh,ADILABAD,Gram,2001-02,Rabi,3277,Hectare,3621,Tonnes,1.104974062
Andhra Pradesh,ADILABAD,Gram,2002-03,Rabi,3711,Hectare,4591,Tonnes,1.237132848
Andhra Pradesh,ADILABAD,Gram,2003-04,Rabi,8627,Hectare,10302,Tonnes,1.194157876
Andhra Pradesh,ANANTAPUR,Gram,2001-02,Kharif,16,Hectare,17,Tonnes,1.0625
Andhra Pradesh,ANANTAPUR,Gram,2001-02,Rabi,47894,Hectare,50145,Tonnes,1.046999624
Andhra Pradesh,ANANTAPUR,Gram,2002-03,Rabi,54264,Hectare,20186,Tonnes,0.371996167
Andhra Pradesh,ANANTAPUR,Gram,2003-04,Rabi,51461,Hectare,15438,Tonnes,0.29999417
Andhra Pradesh,CHITTOOR,Gram,2001-02,Kharif,5,Hectare,6,Tonnes,1.2
Andhra Pradesh,CHITTOOR,Gram,2002-03,Rabi,20,Hectare,16,Tonnes,0.8
Andhra Pradesh,EAST GODAVARI,Gram,2001-02,Rabi,26,Hectare,49,Tonnes,1.884615385
Andhra Pradesh,EAST GODAVARI,Gram,2002-03,Rabi,31,Hectare,41,Tonnes,1.322580645
Andhra Pradesh,EAST GODAVARI,Gram,2003-04,Rabi,5,Hectare,9,Tonnes,1.8
Andhra Pradesh,GUNTUR,Gram,2001-02,Rabi,2820,Hectare,5285,Tonnes,1.874113475
Andhra Pradesh,GUNTUR,Gram,2002-03,Rabi,9847,Hectare,12909,Tonnes,1.310957652
Andhra Pradesh,GUNTUR,Gram,2003-04,Kharif,44,Hectare,79,Tonnes,1.795454545
Andhra Pradesh,GUNTUR,Gram,2003-04,Rabi,17127,Hectare,30656,Tonnes,1.789922345
Andhra Pradesh,KADAPA,Gram,2001-02,Kharif,1,Hectare,1,Tonnes,1
Andhra Pradesh,KADAPA,Gram,2001-02,Rabi,42871,Hectare,54060,Tonnes,1.260992279
Andhra Pradesh,KADAPA,Gram,2002-03,Kharif,2,Hectare,1,Tonnes,0.5
Andhra Pradesh,KADAPA,Gram,2002-03,Rabi,54056,Hectare,28109,Tonnes,0.51999778
Andhra Pradesh,KADAPA,Gram,2003-04,Rabi,44584,Hectare,49221,Tonnes,1.104005921
Andhra Pradesh,KARIMNAGAR,Gram,2001-02,Rabi,749,Hectare,828,Tonnes,1.105473965
Andhra Pradesh,KARIMNAGAR,Gram,2002-03,Rabi,2987,Hectare,3695,Tonnes,1.237027118
Andhra Pradesh,KARIMNAGAR,Gram,2003-04,Kharif,6,Hectare,7,Tonnes,1.166666667
Andhra Pradesh,KARIMNAGAR,Gram,2003-04,Rabi,6990,Hectare,8346,Tonnes,1.193991416
Andhra Pradesh,KHAMMAM,Gram,2001-02,Rabi,142,Hectare,157,Tonnes,1.105633803
Andhra Pradesh,KHAMMAM,Gram,2002-03,Kharif,18,Hectare,22,Tonnes,1.222222222
Andhra Pradesh,KHAMMAM,Gram,2002-03,Rabi,115,Hectare,142,Tonnes,1.234782609
Andhra Pradesh,KHAMMAM,Gram,2003-04,Rabi,239,Hectare,285,Tonnes,1.192468619
Andhra Pradesh,KRISHNA,Gram,2001-02,Rabi,30,Hectare,56,Tonnes,1.866666667
Andhra Pradesh,KRISHNA,Gram,2002-03,Rabi,48,Hectare,63,Tonnes,1.3125
Andhra Pradesh,KRISHNA,Gram,2003-04,Kharif,2,Hectare,4,Tonnes,2
Andhra Pradesh,KRISHNA,Gram,2003-04,Rabi,153,Hectare,274,Tonnes,1.790849673
Andhra Pradesh,KURNOOL,Gram,2001-02,Kharif,10,Hectare,12,Tonnes,1.2
Andhra Pradesh,KURNOOL,Gram,2001-02,Rabi,107059,Hectare,125901,Tonnes,1.175996413
Andhra Pradesh,KURNOOL,Gram,2002-03,Rabi,143953,Hectare,157053,Tonnes,1.091001924
Andhra Pradesh,KURNOOL,Gram,2003-04,Rabi,139705,Hectare,110507,Tonnes,0.791002469
Andhra Pradesh,MAHBUBNAGAR,Gram,2001-02,Kharif,46,Hectare,51,Tonnes,1.108695652
Andhra Pradesh,MAHBUBNAGAR,Gram,2001-02,Rabi,7043,Hectare,7783,Tonnes,1.105068863
Andhra Pradesh,MAHBUBNAGAR,Gram,2002-03,Rabi,10731,Hectare,13274,Tonnes,1.236976983
Andhra Pradesh,MAHBUBNAGAR,Gram,2003-04,Rabi,13145,Hectare,15695,Tonnes,1.19399011
Andhra Pradesh,MEDAK,Gram,2001-02,Rabi,19979,Hectare,22077,Tonnes,1.105010261
Andhra Pradesh,MEDAK,Gram,2002-03,Rabi,28616,Hectare,35398,Tonnes,1.23700028
Andhra Pradesh,MEDAK,Gram,2003-04,Rabi,39571,Hectare,47248,Tonnes,1.194005711
Andhra Pradesh,NALGONDA,Gram,2001-02,Rabi,164,Hectare,181,Tonnes,1.103658537
Andhra Pradesh,NALGONDA,Gram,2002-03,Rabi,288,Hectare,356,Tonnes,1.236111111
Andhra Pradesh,NALGONDA,Gram,2003-04,Rabi,953,Hectare,1138,Tonnes,1.19412382
Andhra Pradesh,NIZAMABAD,Gram,2001-02,Kharif,12,Hectare,13,Tonnes,1.083333333
Andhra Pradesh,NIZAMABAD,Gram,2001-02,Rabi,2773,Hectare,3064,Tonnes,1.104940498
Andhra Pradesh,NIZAMABAD,Gram,2002-03,Rabi,4412,Hectare,5459,Tonnes,1.237307344
Andhra Pradesh,NIZAMABAD,Gram,2003-04,Rabi,8778,Hectare,10481,Tonnes,1.194007747
Andhra Pradesh,PRAKASAM,Gram,2001-02,Rabi,43496,Hectare,81512,Tonnes,1.874011403
Andhra Pradesh,PRAKASAM,Gram,2002-03,Rabi,67372,Hectare,88325,Tonnes,1.311004572
Andhra Pradesh,PRAKASAM,Gram,2003-04,Rabi,78451,Hectare,140427,Tonnes,1.789996303
Andhra Pradesh,RANGAREDDI,Gram,2001-02,Rabi,5204,Hectare,5750,Tonnes,1.104919293
Andhra Pradesh,RANGAREDDI,Gram,2002-03,Kharif,1,Hectare,1,Tonnes,1
Andhra Pradesh,RANGAREDDI,Gram,2002-03,Rabi,6110,Hectare,7558,Tonnes,1.236988543
Andhra Pradesh,RANGAREDDI,Gram,2003-04,Rabi,5783,Hectare,6905,Tonnes,1.194016946
Andhra Pradesh,SPSR NELLORE,Gram,2001-02,Rabi,930,Hectare,1743,Tonnes,1.874193548
Andhra Pradesh,SPSR NELLORE,Gram,2002-03,Kharif,16,Hectare,21,Tonnes,1.3125
Andhra Pradesh,SPSR NELLORE,Gram,2002-03,Rabi,2165,Hectare,2838,Tonnes,1.310854503
Andhra Pradesh,SPSR NELLORE,Gram,2003-04,Rabi,2604,Hectare,4661,Tonnes,1.789938556
Andhra Pradesh,VISAKHAPATANAM,Gram,2001-02,Rabi,97,Hectare,182,Tonnes,1.87628866
Andhra Pradesh,VISAKHAPATANAM,Gram,2002-03,Rabi,93,Hectare,122,Tonnes,1.311827957
Andhra Pradesh,VISAKHAPATANAM,Gram,2003-04,Rabi,215,Hectare,385,Tonnes,1.790697674
Andhra Pradesh,VIZIANAGARAM,Gram,2001-02,Rabi,61,Hectare,114,Tonnes,1.868852459
Andhra Pradesh,VIZIANAGARAM,Gram,2002-03,Rabi,322,Hectare,422,Tonnes,1.310559006
Andhra Pradesh,VIZIANAGARAM,Gram,2003-04,Rabi,178,Hectare,319,Tonnes,1.792134831
Andhra Pradesh,WARANGAL,Gram,2001-02,Rabi,465,Hectare,514,Tonnes,1.105376344
Andhra Pradesh,WARANGAL,Gram,2002-03,Rabi,949,Hectare,1174,Tonnes,1.237091675
Andhra Pradesh,WARANGAL,Gram,2003-04,Rabi,3490,Hectare,4167,Tonnes,1.193982808
Andhra Pradesh,WEST GODAVARI,Gram,2001-02,Rabi,6,Hectare,11,Tonnes,1.833333333
Andhra Pradesh,WEST GODAVARI,Gram,2002-03,Rabi,23,Hectare,30,Tonnes,1.304347826
Andhra Pradesh,ADILABAD,Groundnut,2001-02,Kharif,70,Hectare,50,Tonnes,0.714285714
Andhra Pradesh,ADILABAD,Groundnut,2001-02,Rabi,3626,Hectare,5011,Tonnes,1.381963596
Andhra Pradesh,ADILABAD,Groundnut,2002-03,Kharif,139,Hectare,78,Tonnes,0.561151079
Andhra Pradesh,ADILABAD,Groundnut,2002-03,Rabi,2479,Hectare,2705,Tonnes,1.091165793
Andhra Pradesh,ADILABAD,Groundnut,2003-04,Kharif,71,Hectare,50,Tonnes,0.704225352
Andhra Pradesh,ADILABAD,Groundnut,2003-04,Rabi,3180,Hectare,4598,Tonnes,1.44591195
Andhra Pradesh,ANANTAPUR,Groundnut,2001-02,Kharif,758700,Hectare,333828,Tonnes,0.44
Andhra Pradesh,ANANTAPUR,Groundnut,2001-02,Rabi,18773,Hectare,29192,Tonnes,1.554999201
Andhra Pradesh,ANANTAPUR,Groundnut,2002-03,Kharif,732262,Hectare,259953,Tonnes,0.354999986
Andhra Pradesh,ANANTAPUR,Groundnut,2002-03,Rabi,17529,Hectare,18651,Tonnes,1.064008215
Andhra Pradesh,ANANTAPUR,Groundnut,2003-04,Kharif,670935,Hectare,187862,Tonnes,0.280000298
Andhra Pradesh,ANANTAPUR,Groundnut,2003-04,Rabi,15060,Hectare,19819,Tonnes,1.316002656
Andhra Pradesh,CHITTOOR,Groundnut,2001-02,Kharif,171365,Hectare,125096,Tonnes,0.729997374
Andhra Pradesh,CHITTOOR,Groundnut,2001-02,Rabi,21443,Hectare,59311,Tonnes,2.765984237
Andhra Pradesh,CHITTOOR,Groundnut,2002-03,Kharif,101638,Hectare,50108,Tonnes,0.493004585
Andhra Pradesh,CHITTOOR,Groundnut,2002-03,Rabi,18706,Hectare,52714,Tonnes,2.818026302
Andhra Pradesh,CHITTOOR,Groundnut,2003-04,Kharif,137201,Hectare,92611,Tonnes,0.675002369
Andhra Pradesh,CHITTOOR,Groundnut,2003-04,Rabi,22411,Hectare,51164,Tonnes,2.282986034
Andhra Pradesh,EAST GODAVARI,Groundnut,2001-02,Kharif,140,Hectare,72,Tonnes,0.514285714
Andhra Pradesh,EAST GODAVARI,Groundnut,2001-02,Rabi,494,Hectare,979,Tonnes,1.981781377
Andhra Pradesh,EAST GODAVARI,Groundnut,2002-03,Kharif,50,Hectare,48,Tonnes,0.96
Andhra Pradesh,EAST GODAVARI,Groundnut,2002-03,Rabi,526,Hectare,920,Tonnes,1.74904943
Andhra Pradesh,EAST GODAVARI,Groundnut,2003-04,Kharif,125,Hectare,120,Tonnes,0.96
Andhra Pradesh,EAST GODAVARI,Groundnut,2003-04,Rabi,580,Hectare,977,Tonnes,1.684482759
Andhra Pradesh,GUNTUR,Groundnut,2001-02,Kharif,189,Hectare,138,Tonnes,0.73015873
Andhra Pradesh,GUNTUR,Groundnut,2001-02,Rabi,5092,Hectare,12954,Tonnes,2.543990573
Andhra Pradesh,GUNTUR,Groundnut,2002-03,Kharif,161,Hectare,141,Tonnes,0.875776398
Andhra Pradesh,GUNTUR,Groundnut,2002-03,Rabi,3624,Hectare,7802,Tonnes,2.152869757
Andhra Pradesh,GUNTUR,Groundnut,2003-04,Kharif,265,Hectare,254,Tonnes,0.958490566
Andhra Pradesh,GUNTUR,Groundnut,2003-04,Rabi,8348,Hectare,11178,Tonnes,1.339003354
Andhra Pradesh,KADAPA,Groundnut,2001-02,Kharif,119708,Hectare,43693,Tonnes,0.364996491
Andhra Pradesh,KADAPA,Groundnut,2001-02,Rabi,20282,Hectare,34824,Tonnes,1.716990435
Andhra Pradesh,KADAPA,Groundnut,2002-03,Kharif,87896,Hectare,11778,Tonnes,0.133999272
Andhra Pradesh,KADAPA,Groundnut,2002-03,Rabi,18282,Hectare,24772,Tonnes,1.354993983
Andhra Pradesh,KADAPA,Groundnut,2003-04,Kharif,109650,Hectare,21711,Tonnes,0.198002736
Andhra Pradesh,KADAPA,Groundnut,2003-04,Rabi,19746,Hectare,33430,Tonnes,1.693001114
Andhra Pradesh,KARIMNAGAR,Groundnut,2001-02,Kharif,4967,Hectare,2965,Tonnes,0.596939803
Andhra Pradesh,KARIMNAGAR,Groundnut,2001-02,Rabi,14243,Hectare,27888,Tonnes,1.958014463
Andhra Pradesh,KARIMNAGAR,Groundnut,2002-03,Kharif,3383,Hectare,1685,Tonnes,0.498078628
Andhra Pradesh,KARIMNAGAR,Groundnut,2002-03,Rabi,11852,Hectare,19485,Tonnes,1.644026325
Andhra Pradesh,KARIMNAGAR,Groundnut,2003-04,Kharif,2224,Hectare,1099,Tonnes,0.494154676
Andhra Pradesh,KARIMNAGAR,Groundnut,2003-04,Rabi,14564,Hectare,30657,Tonnes,2.104984894
Andhra Pradesh,KHAMMAM,Groundnut,2001-02,Kharif,499,Hectare,508,Tonnes,1.018036072
Andhra Pradesh,KHAMMAM,Groundnut,2001-02,Rabi,5541,Hectare,9536,Tonnes,1.720988991
Andhra Pradesh,KHAMMAM,Groundnut,2002-03,Kharif,479,Hectare,500,Tonnes,1.043841336
Andhra Pradesh,KHAMMAM,Groundnut,2002-03,Rabi,3917,Hectare,4963,Tonnes,1.267041103
Andhra Pradesh,KHAMMAM,Groundnut,2003-04,Kharif,535,Hectare,467,Tonnes,0.872897196
Andhra Pradesh,KHAMMAM,Groundnut,2003-04,Rabi,6182,Hectare,7752,Tonnes,1.253963119
Andhra Pradesh,KRISHNA,Groundnut,2001-02,Kharif,1720,Hectare,1369,Tonnes,0.795930233
Andhra Pradesh,KRISHNA,Groundnut,2001-02,Rabi,4757,Hectare,10665,Tonnes,2.241959218
Andhra Pradesh,KRISHNA,Groundnut,2002-03,Kharif,985,Hectare,977,Tonnes,0.991878173
Andhra Pradesh,KRISHNA,Groundnut,2002-03,Rabi,3447,Hectare,6449,Tonnes,1.870902234
Andhra Pradesh,KRISHNA,Groundnut,2003-04,Kharif,1023,Hectare,1112,Tonnes,1.086999022
Andhra Pradesh,KRISHNA,Groundnut,2003-04,Rabi,6570,Hectare,10959,Tonnes,1.66803653
Andhra Pradesh,KURNOOL,Groundnut,2001-02,Kharif,175910,Hectare,151283,Tonnes,0.860002274
Andhra Pradesh,KURNOOL,Groundnut,2001-02,Rabi,33333,Hectare,67566,Tonnes,2.02700027
Andhra Pradesh,KURNOOL,Groundnut,2002-03,Kharif,167944,Hectare,96568,Tonnes,0.575001191
Andhra Pradesh,KURNOOL,Groundnut,2002-03,Rabi,18980,Hectare,26667,Tonnes,1.405005269
Andhra Pradesh,KURNOOL,Groundnut,2003-04,Kharif,172279,Hectare,164182,Tonnes,0.953000656
Andhra Pradesh,KURNOOL,Groundnut,2003-04,Rabi,17180,Hectare,31628,Tonnes,1.840977881
Andhra Pradesh,MAHBUBNAGAR,Groundnut,2001-02,Kharif,66118,Hectare,37819,Tonnes,0.571992498
Andhra Pradesh,MAHBUBNAGAR,Groundnut,2001-02,Rabi,42503,Hectare,59589,Tonnes,1.401995153
Andhra Pradesh,MAHBUBNAGAR,Groundnut,2002-03,Kharif,54271,Hectare,24530,Tonnes,0.451990934
Andhra Pradesh,MAHBUBNAGAR,Groundnut,2002-03,Rabi,36038,Hectare,34272,Tonnes,0.950996171
Andhra Pradesh,MAHBUBNAGAR,Groundnut,2003-04,Kharif,40729,Hectare,24600,Tonnes,0.603992241
Andhra Pradesh,MAHBUBNAGAR,Groundnut,2003-04,Rabi,34641,Hectare,44029,Tonnes,1.271008343
Andhra Pradesh,MEDAK,Groundnut,2001-02,Kharif,1753,Hectare,2261,Tonnes,1.289788933
Andhra Pradesh,MEDAK,Groundnut,2001-02,Rabi,3602,Hectare,5374,Tonnes,1.491948917
Andhra Pradesh,MEDAK,Groundnut,2002-03,Kharif,714,Hectare,619,Tonnes,0.866946779
Andhra Pradesh,MEDAK,Groundnut,2002-03,Rabi,2524,Hectare,4344,Tonnes,1.721077655
Andhra Pradesh,MEDAK,Groundnut,2003-04,Kharif,384,Hectare,330,Tonnes,0.859375
Andhra Pradesh,MEDAK,Groundnut,2003-04,Rabi,4469,Hectare,6601,Tonnes,1.47706422
Andhra Pradesh,NALGONDA,Groundnut,2001-02,Kharif,20457,Hectare,16263,Tonnes,0.794984602
Andhra Pradesh,NALGONDA,Groundnut,2001-02,Rabi,13754,Hectare,14084,Tonnes,1.02399302
Andhra Pradesh,NALGONDA,Groundnut,2002-03,Kharif,20002,Hectare,11761,Tonnes,0.587991201
Andhra Pradesh,NALGONDA,Groundnut,2002-03,Rabi,9510,Hectare,7361,Tonnes,0.77402734
Andhra Pradesh,NALGONDA,Groundnut,2003-04,Kharif,19469,Hectare,15419,Tonnes,0.791976989
Andhra Pradesh,NALGONDA,Groundnut,2003-04,Rabi,16060,Hectare,16269,Tonnes,1.013013699
Andhra Pradesh,NIZAMABAD,Groundnut,2001-02,Kharif,239,Hectare,170,Tonnes,0.711297071
Andhra Pradesh,NIZAMABAD,Groundnut,2001-02,Rabi,7146,Hectare,12420,Tonnes,1.738035264
Andhra Pradesh,NIZAMABAD,Groundnut,2002-03,Kharif,193,Hectare,108,Tonnes,0.559585492
Andhra Pradesh,NIZAMABAD,Groundnut,2002-03,Rabi,3369,Hectare,3436,Tonnes,1.019887207
Andhra Pradesh,NIZAMABAD,Groundnut,2003-04,Kharif,163,Hectare,114,Tonnes,0.699386503
Andhra Pradesh,NIZAMABAD,Groundnut,2003-04,Rabi,2402,Hectare,5789,Tonnes,2.410074938
Andhra Pradesh,PRAKASAM,Groundnut,2001-02,Kharif,1524,Hectare,1212,Tonnes,0.795275591
Andhra Pradesh,PRAKASAM,Groundnut,2001-02,Rabi,4936,Hectare,8534,Tonnes,1.728930308
Andhra Pradesh,PRAKASAM,Groundnut,2002-03,Kharif,1711,Hectare,1761,Tonnes,1.029222677
Andhra Pradesh,PRAKASAM,Groundnut,2002-03,Rabi,4925,Hectare,6531,Tonnes,1.326091371
Andhra Pradesh,PRAKASAM,Groundnut,2003-04,Kharif,1414,Hectare,1654,Tonnes,1.169731259
Andhra Pradesh,PRAKASAM,Groundnut,2003-04,Rabi,5793,Hectare,10787,Tonnes,1.862074918
Andhra Pradesh,RANGAREDDI,Groundnut,2001-02,Kharif,1241,Hectare,604,Tonnes,0.486704271
Andhra Pradesh,RANGAREDDI,Groundnut,2001-02,Rabi,6004,Hectare,7367,Tonnes,1.227015323
Andhra Pradesh,RANGAREDDI,Groundnut,2002-03,Kharif,605,Hectare,189,Tonnes,0.312396694
Andhra Pradesh,RANGAREDDI,Groundnut,2002-03,Rabi,4658,Hectare,6260,Tonnes,1.343924431
Andhra Pradesh,RANGAREDDI,Groundnut,2003-04,Kharif,502,Hectare,283,Tonnes,0.56374502
Andhra Pradesh,RANGAREDDI,Groundnut,2003-04,Rabi,5395,Hectare,6976,Tonnes,1.29304912
Andhra Pradesh,SPSR NELLORE,Groundnut,2001-02,Kharif,2616,Hectare,3817,Tonnes,1.459097859
Andhra Pradesh,SPSR NELLORE,Groundnut,2001-02,Rabi,7111,Hectare,18531,Tonnes,2.605962593
Andhra Pradesh,SPSR NELLORE,Groundnut,2002-03,Kharif,4242,Hectare,7894,Tonnes,1.860914663
Andhra Pradesh,SPSR NELLORE,Groundnut,2002-03,Rabi,5487,Hectare,13849,Tonnes,2.523965737
Andhra Pradesh,SPSR NELLORE,Groundnut,2003-04,Kharif,5611,Hectare,10364,Tonnes,1.847086081
Andhra Pradesh,SPSR NELLORE,Groundnut,2003-04,Rabi,8518,Hectare,17411,Tonnes,2.044024419
Andhra Pradesh,SRIKAKULAM,Groundnut,2001-02,Kharif,30461,Hectare,21566,Tonnes,0.707987262
Andhra Pradesh,SRIKAKULAM,Groundnut,2001-02,Rabi,5580,Hectare,6211,Tonnes,1.113082437
Andhra Pradesh,SRIKAKULAM,Groundnut,2002-03,Kharif,29254,Hectare,20829,Tonnes,0.712005196
Andhra Pradesh,SRIKAKULAM,Groundnut,2002-03,Rabi,3999,Hectare,4575,Tonnes,1.144036009
Andhra Pradesh,SRIKAKULAM,Groundnut,2003-04,Kharif,26583,Hectare,22941,Tonnes,0.862995147
Andhra Pradesh,SRIKAKULAM,Groundnut,2003-04,Rabi,6926,Hectare,11026,Tonnes,1.591972278
Andhra Pradesh,VISAKHAPATANAM,Groundnut,2001-02,Kharif,12864,Hectare,14601,Tonnes,1.135027985
Andhra Pradesh,VISAKHAPATANAM,Groundnut,2001-02,Rabi,2208,Hectare,4376,Tonnes,1.981884058
Andhra Pradesh,VISAKHAPATANAM,Groundnut,2002-03,Kharif,10313,Hectare,8477,Tonnes,0.821972268
Andhra Pradesh,VISAKHAPATANAM,Groundnut,2002-03,Rabi,893,Hectare,1562,Tonnes,1.749160134
Andhra Pradesh,VISAKHAPATANAM,Groundnut,2003-04,Kharif,9262,Hectare,10920,Tonnes,1.179011013
Andhra Pradesh,VISAKHAPATANAM,Groundnut,2003-04,Rabi,1583,Hectare,2667,Tonnes,1.684775742
Andhra Pradesh,VIZIANAGARAM,Groundnut,2001-02,Kharif,46758,Hectare,36986,Tonnes,0.791009025
Andhra Pradesh,VIZIANAGARAM,Groundnut,2001-02,Rabi,4688,Hectare,5968,Tonnes,1.273037543
Andhra Pradesh,VIZIANAGARAM,Groundnut,2002-03,Kharif,36766,Hectare,29082,Tonnes,0.791002557
Andhra Pradesh,VIZIANAGARAM,Groundnut,2002-03,Rabi,2806,Hectare,2660,Tonnes,0.947968639
Andhra Pradesh,VIZIANAGARAM,Groundnut,2003-04,Kharif,42798,Hectare,36079,Tonnes,0.843006683
Andhra Pradesh,VIZIANAGARAM,Groundnut,2003-04,Rabi,4266,Hectare,5861,Tonnes,1.373886545
Andhra Pradesh,WARANGAL,Groundnut,2001-02,Kharif,20696,Hectare,22124,Tonnes,1.06899884
Andhra Pradesh,WARANGAL,Groundnut,2001-02,Rabi,24636,Hectare,26065,Tonnes,1.058004546
Andhra Pradesh,WARANGAL,Groundnut,2002-03,Kharif,17499,Hectare,15014,Tonnes,0.857991885
Andhra Pradesh,WARANGAL,Groundnut,2002-03,Rabi,22832,Hectare,23220,Tonnes,1.016993693
Andhra Pradesh,WARANGAL,Groundnut,2003-04,Kharif,16791,Hectare,14407,Tonnes,0.858019177
Andhra Pradesh,WARANGAL,Groundnut,2003-04,Rabi,28264,Hectare,43866,Tonnes,1.552009624
Andhra Pradesh,WEST GODAVARI,Groundnut,2001-02,Kharif,670,Hectare,1126,Tonnes,1.680597015
Andhra Pradesh,WEST GODAVARI,Groundnut,2001-02,Rabi,2701,Hectare,6237,Tonnes,2.309144761
Andhra Pradesh,WEST GODAVARI,Groundnut,2002-03,Kharif,155,Hectare,242,Tonnes,1.561290323
Andhra Pradesh,WEST GODAVARI,Groundnut,2002-03,Rabi,2579,Hectare,5114,Tonnes,1.982939124
Andhra Pradesh,WEST GODAVARI,Groundnut,2003-04,Kharif,465,Hectare,445,Tonnes,0.956989247
Andhra Pradesh,WEST GODAVARI,Groundnut,2003-04,Rabi,2642,Hectare,5345,Tonnes,2.023088569
Andhra Pradesh,ADILABAD,Horse-gram,2001-02,Kharif,82,Hectare,30,Tonnes,0.365853659
Andhra Pradesh,ADILABAD,Horse-gram,2001-02,Rabi,3088,Hectare,1019,Tonnes,0.329987047
Andhra Pradesh,ADILABAD,Horse-gram,2002-03,Kharif,17,Hectare,6,Tonnes,0.352941176
Andhra Pradesh,ADILABAD,Horse-gram,2002-03,Rabi,1176,Hectare,149,Tonnes,0.12670068
Andhra Pradesh,ADILABAD,Horse-gram,2003-04,Kharif,10,Hectare,5,Tonnes,0.5
Andhra Pradesh,ADILABAD,Horse-gram,2003-04,Rabi,1839,Hectare,600,Tonnes,0.326264274
Andhra Pradesh,ANANTAPUR,Horse-gram,2001-02,Kharif,649,Hectare,60,Tonnes,0.092449923
Andhra Pradesh,ANANTAPUR,Horse-gram,2001-02,Rabi,417,Hectare,226,Tonnes,0.541966427
Andhra Pradesh,ANANTAPUR,Horse-gram,2002-03,Kharif,947,Hectare,140,Tonnes,0.147835269
Andhra Pradesh,ANANTAPUR,Horse-gram,2002-03,Rabi,1859,Hectare,688,Tonnes,0.370091447
Andhra Pradesh,ANANTAPUR,Horse-gram,2003-04,Kharif,492,Hectare,54,Tonnes,0.109756098
Andhra Pradesh,ANANTAPUR,Horse-gram,2003-04,Rabi,1560,Hectare,844,Tonnes,0.541025641
Andhra Pradesh,CHITTOOR,Horse-gram,2001-02,Kharif,2373,Hectare,1241,Tonnes,0.522966709
Andhra Pradesh,CHITTOOR,Horse-gram,2001-02,Rabi,1569,Hectare,849,Tonnes,0.541108987
Andhra Pradesh,CHITTOOR,Horse-gram,2002-03,Kharif,6941,Hectare,3679,Tonnes,0.530038899
Andhra Pradesh,CHITTOOR,Horse-gram,2002-03,Rabi,3471,Hectare,1284,Tonnes,0.369922213
Andhra Pradesh,CHITTOOR,Horse-gram,2003-04,Kharif,5495,Hectare,2121,Tonnes,0.385987261
Andhra Pradesh,CHITTOOR,Horse-gram,2003-04,Rabi,1942,Hectare,1051,Tonnes,0.541194645
Andhra Pradesh,EAST GODAVARI,Horse-gram,2001-02,Rabi,1236,Hectare,669,Tonnes,0.541262136
Andhra Pradesh,EAST GODAVARI,Horse-gram,2002-03,Kharif,59,Hectare,29,Tonnes,0.491525424
Andhra Pradesh,EAST GODAVARI,Horse-gram,2002-03,Rabi,709,Hectare,262,Tonnes,0.369534556
Andhra Pradesh,EAST GODAVARI,Horse-gram,2003-04,Rabi,1153,Hectare,624,Tonnes,0.541196878
Andhra Pradesh,GUNTUR,Horse-gram,2002-03,Rabi,9,Hectare,3,Tonnes,0.333333333
