State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,GUNTUR,Cotton(lint),2001-02,Kharif,126285,Hectare,378112,Bales,2.994116483
Andhra Pradesh,GUNTUR,Cotton(lint),2002-03,Kharif,98628,Hectare,186813,Bales,1.894117289
Andhra Pradesh,GUNTUR,Cotton(lint),2003-04,Kharif,138925,Hectare,485420,Bales,3.49411553
Andhra Pradesh,KADAPA,Cotton(lint),2001-02,Kharif,21579,Hectare,23356,Bales,1.08234858
Andhra Pradesh,KADAPA,Cotton(lint),2002-03,Kharif,11500,Hectare,12921,Bales,1.123565217
Andhra Pradesh,KADAPA,Cotton(lint),2003-04,Kharif,15784,Hectare,12999,Bales,0.823555499
Andhra Pradesh,KARIMNAGAR,Cotton(lint),2001-02,Kharif,80520,Hectare,103729,Bales,1.288238947
Andhra Pradesh,KARIMNAGAR,Cotton(lint),2002-03,Kharif,46302,Hectare,71087,Bales,1.535290052
Andhra Pradesh,KARIMNAGAR,Cotton(lint),2003-04,Kharif,48689,Hectare,106829,Bales,2.194109552
Andhra Pradesh,KHAMMAM,Cotton(lint),2001-02,Kharif,99040,Hectare,208567,Bales,2.105886511
Andhra Pradesh,KHAMMAM,Cotton(lint),2002-03,Kharif,70138,Hectare,117172,Bales,1.670592261
Andhra Pradesh,KHAMMAM,Cotton(lint),2003-04,Kharif,76338,Hectare,176475,Bales,2.311758233
Andhra Pradesh,KRISHNA,Cotton(lint),2001-02,Kharif,35374,Hectare,77615,Bales,2.194125629
Andhra Pradesh,KRISHNA,Cotton(lint),2002-03,Kharif,31367,Hectare,57937,Bales,1.847068575
Andhra Pradesh,KRISHNA,Cotton(lint),2003-04,Kharif,35436,Hectare,104849,Bales,2.958827181
Andhra Pradesh,KURNOOL,Cotton(lint),2001-02,Kharif,82631,Hectare,87006,Bales,1.052946231
Andhra Pradesh,KURNOOL,Cotton(lint),2002-03,Kharif,55276,Hectare,49748,Bales,0.899992764
Andhra Pradesh,KURNOOL,Cotton(lint),2003-04,Kharif,39274,Hectare,42739,Bales,1.088226307
Andhra Pradesh,MAHBUBNAGAR,Cotton(lint),2001-02,Kharif,63422,Hectare,77226,Bales,1.21765318
Andhra Pradesh,MAHBUBNAGAR,Cotton(lint),2002-03,Kharif,43266,Hectare,57518,Bales,1.329404151
Andhra Pradesh,MAHBUBNAGAR,Cotton(lint),2003-04,Kharif,34979,Hectare,57407,Bales,1.641184711
Andhra Pradesh,MEDAK,Cotton(lint),2001-02,Kharif,16399,Hectare,24791,Bales,1.511738521
Andhra Pradesh,MEDAK,Cotton(lint),2002-03,Kharif,6960,Hectare,8843,Bales,1.270545977
Andhra Pradesh,MEDAK,Cotton(lint),2003-04,Kharif,5761,Hectare,13318,Bales,2.311751432
Andhra Pradesh,NALGONDA,Cotton(lint),2001-02,Kharif,113516,Hectare,102832,Bales,0.905881109
Andhra Pradesh,NALGONDA,Cotton(lint),2002-03,Kharif,77391,Hectare,67376,Bales,0.870592188
Andhra Pradesh,NALGONDA,Cotton(lint),2003-04,Kharif,63615,Hectare,112262,Bales,1.764709581
Andhra Pradesh,NIZAMABAD,Cotton(lint),2001-02,Kharif,10931,Hectare,16525,Bales,1.511755558
